Group1_Delta,Group2_Delta,Group3_Delta,Group4_Delta,Cluster
0.0,0.2,0.0,0.2,2
0.0,0.24,0.0,0.24,2
0.0,0.22,0.0,0.22,2
0.0,-0.59,0.0,-0.59,3
0.0,0.17,0.0,0.17,0
0.0,0.12,0.0,0.12,0
0.0,0.04,0.0,0.04,0
0.0,0.02,0.0,0.02,0
0.0,0.11,0.0,0.11,0
0.0,0.16,0.0,0.16,0
0.0,-0.6,0.0,-0.6,3
0.0,0.05,0.0,0.05,0
0.0,0.04,0.0,0.04,0
0.0,0.07,0.0,0.07,0
0.0,0.14,0.0,0.14,0
0.0,0.13,0.0,0.13,0
0.0,-0.58,0.0,-0.58,3
0.0,0.26,0.0,0.26,2
0.0,-0.4,0.0,-0.4,1
0.0,-0.37,0.0,-0.37,1
